id;Tweet.Type;tweets;retweets;country
82;Tweet;3;14;Australia
83;Tweet;4;17;United States
84;Tweet;5;47;United Kingdom
84;ReTweet;4;0;United Kingdom
84;Reply;8;0;United Kingdom
85;Reply;1;0;United States
85;ReTweet;25;0;United States
85;Tweet;6;55;United States
86;ReTweet;2;0;United Kingdom
86;Tweet;5;22;United Kingdom
87;Reply;4;6;Argentina
87;Tweet;3;4;Argentina
88;Tweet;5;33;United Kingdom
88;ReTweet;4;0;United Kingdom
88;Reply;4;2;United Kingdom
89;ReTweet;2;0;United Kingdom
89;Tweet;4;21;United Kingdom
90;Tweet;13;42;United States
90;Reply;5;2;United States
90;ReTweet;1;0;United States
91;Tweet;5;24;United States
91;Reply;10;1;United States
91;ReTweet;19;0;United States
92;ReTweet;3;0;United Kingdom
92;Reply;7;1;United Kingdom
92;Tweet;5;46;United Kingdom
